French,English
seulement,only
police,police
demande,request
genre,kind
mois,month
laisser,let
mettre,to put
eux,them
ville,city
parlé,speak
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
matin,morning
enfant,child
venu,came
pardon,sorry
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
eau,water
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
aura,will have
filles,girls
jouer,to play
bureau,office
